time,x,y,z
0.0,-0.023438,-0.167252,-0.959518
0.104,-0.005447,-0.158386,-0.991989
0.2,0.035126,-0.162003,-0.990677
0.296,0.010391,-0.163452,-0.94342
0.396,0.02002,-0.141037,-0.993073
0.505,0.045334,-0.169693,-0.954666
0.598,0.096893,-0.173645,-0.976028
0.693,0.119583,-0.123581,-1.03476
0.794,0.131012,-0.094955,-0.951935
0.895,-0.163666,-0.218857,-0.886581
0.995,-0.03421,-0.089539,-1.060226
1.091,-0.131271,-0.11795,-0.950958
1.191,-0.031677,-0.11792,-0.959854
1.292,0.026688,-0.166397,-0.9599
1.392,-0.055954,0.004318,-0.932526
1.488,0.076691,-0.036362,-1.035202
1.589,0.023972,0.082016,-1.073441
1.689,0.065201,0.263321,-0.92009
1.79,0.21283,0.098343,-1.044739
1.886,0.259979,0.13295,-1.031693
1.986,0.159164,0.01384,-0.986526
2.091,0.274872,0.128845,-1.042892
2.187,0.105759,0.281784,-1.06604
2.283,-0.099594,0.060898,-1.501663
2.384,0.107376,0.125717,-0.94873
2.491,-0.033752,0.229568,-0.744064
2.585,0.163452,0.112167,-1.025909
2.681,-0.043106,0.194809,-0.920013
2.781,0.121338,0.439117,-0.710785
2.882,0.52301,0.123703,-0.827271
2.982,0.554916,0.170074,-0.807266
3.078,0.678711,0.281158,-0.896027
3.179,0.649612,0.359375,-0.832413
3.28,0.802856,0.84227,-0.803329
3.381,0.714615,0.259201,-0.65564
3.477,0.568756,0.362534,-0.725815
3.577,0.409851,0.226974,-0.411362
3.678,0.794632,0.694427,-0.888748
3.779,0.444656,0.279465,-0.720718
3.874,0.094223,0.514923,-0.590775
3.975,-0.005142,0.933456,-0.635956
4.076,0.037506,0.669708,-0.544754
4.177,0.135666,0.674057,-0.467926
4.273,0.10405,0.881042,-0.797913
4.374,0.261017,0.884018,-0.375549
4.474,0.897476,1.061676,-0.476105
4.575,0.070358,0.911118,-0.088287
4.671,0.090027,0.903809,-0.14946
4.772,0.128815,1.139328,-0.026932
4.872,0.252029,1.25032,-0.408905
4.973,0.157578,0.855728,-0.347427
5.069,0.291641,1.633652,0.162964
5.17,0.55687,0.776566,-0.596161
5.271,0.138016,1.01413,-0.161102
5.371,0.395523,1.194443,0.198837
5.472,0.216858,1.004761,-0.208862
5.573,0.093399,0.960648,-0.218826
5.674,0.091385,0.906937,-0.078018
5.775,0.111832,0.833908,0.043655
5.875,0.004547,1.662231,0.018692
5.976,-0.29744,1.389618,0.044434
6.077,-0.307602,0.891769,-0.129425
6.178,-0.198212,0.741135,-0.051987
6.279,-0.103317,1.01825,0.069519
6.379,-0.106049,1.073929,-0.046051
6.48,-0.37001,1.083618,0.115677
6.581,-0.443741,1.192184,-0.012283
6.682,-0.372955,1.269043,0.163071
6.782,-0.171051,1.267212,0.078049
6.883,-0.132141,0.996231,-0.061188
6.984,-0.273529,1.02211,-0.327393
7.085,-0.09024,0.896698,-0.194733
7.185,-0.38356,0.927734,-0.158218
7.286,-0.585831,1.074295,0.404587
7.387,-0.097687,0.966614,-0.662201
7.488,-0.285614,0.639908,0.028854
7.589,-1.173157,0.885193,-0.163086
7.689,-0.724106,0.38652,-0.344391
7.79,-0.690491,0.490723,-0.124786
7.891,-0.827286,0.621872,-0.122177
7.991,-0.999237,0.559265,-0.25058
8.105,-0.710327,0.044678,0.560486
8.193,-1.098495,0.90416,0.64769
8.294,-0.706619,0.312073,0.499847
8.395,-0.878036,0.238449,0.426254
8.495,-0.788315,0.324799,0.319489
8.596,-0.945862,0.062454,0.515656
8.697,-0.948517,0.21048,0.575577
8.798,-0.789185,0.095276,0.471069
8.898,-1.033997,-0.037643,0.636932
8.999,-0.969467,0.097092,0.525925
9.1,-1.242508,0.096725,0.817749
9.201,-0.867935,-0.042908,0.713318
9.304,-0.253143,-0.189835,0.828171
9.402,-0.623581,-0.074768,0.272385
9.503,-0.766174,-0.024902,-0.593552
9.603,-0.822235,0.019958,-0.390915
9.707,-1.013138,-0.107376,-0.436539
9.805,-0.622437,-0.060349,-0.595291
9.906,-0.840057,-0.045593,-0.622238
10.007,-1.153687,0.085648,0.393768
10.107,-0.668472,0.567917,0.37056
10.208,-0.639771,0.24617,-1.01503
10.309,-0.877533,-0.095169,-0.438324
10.41,-0.859406,-0.003067,-0.472153
10.51,-0.909988,-0.064545,-0.465973
10.611,-0.883621,0.027084,-0.423462
10.711,-0.86676,0.088226,-0.485687
10.813,-0.867691,-0.018188,-0.451477
10.913,-0.925583,0.012405,-0.492111
11.014,-0.833038,-0.017151,-0.471497
11.115,-0.918488,0.006088,-0.454453
11.215,-0.901169,-0.005569,-0.436966
11.316,-0.881744,0.073883,-0.405121
11.417,-0.962173,0.033417,-0.448532
11.518,-0.853867,0.125824,-0.420135
11.618,-0.981079,0.226242,-0.389374
11.719,-0.906433,-0.032806,-0.415939
11.82,-0.910873,0.017502,-0.426437
11.921,-0.893784,0.027283,-0.424042
12.021,-0.868073,0.043015,-0.436661
12.122,-0.914062,0.003555,-0.418243
12.223,-0.89183,-0.004028,-0.424591
12.323,-0.901672,0.042725,-0.393829
12.424,-0.945145,-0.038086,-0.373856
12.525,-0.93396,0.012146,-0.398956
12.626,-0.943176,-0.025497,-0.402588
12.726,-0.856964,-0.070053,-0.411835
12.827,-0.863724,0.038818,-0.423981
12.928,-0.925018,-0.026566,-0.392639
13.029,-0.9561,-0.014755,-0.424622
13.13,-0.889374,0.01918,-0.402176
13.23,-0.874512,0.018539,-0.400742
13.331,-0.922729,0.003616,-0.421829
13.432,-0.920929,-0.001358,-0.425812
13.532,-0.858246,-0.066513,-0.41008
13.633,-0.913422,0.00499,-0.408798
13.733,-0.917923,0.082855,-0.373947
13.834,-0.944214,-0.041397,-0.405731
13.935,-0.84848,0.03537,-0.432587
14.036,-0.877258,-0.061737,-0.475739
14.137,-0.910629,-0.089005,-0.453491
14.238,-0.908813,-0.010742,-0.470795
14.338,-0.873123,-0.029739,-0.454315
14.439,-0.829666,-0.101822,-0.468292
14.539,-0.850677,-0.187195,-0.494843
14.641,-0.865845,-0.0849,-0.493652
14.741,-0.82489,-0.085373,-0.496155
14.841,-0.889191,-0.038116,-0.490585
14.942,-0.836975,-0.13443,-0.532669
15.043,-0.92691,-0.134872,-0.48912
15.144,-0.828888,-0.078613,-0.508682
15.245,-0.916351,-0.149551,-0.545303
15.345,-1.015289,-0.301514,-0.347153
15.446,-0.672455,-0.485275,-0.3134
