time,x,y,z
0.0,0.086914,-0.222336,-0.970139
0.094,0.069443,-0.139633,-1.021744
0.195,-0.0009,-0.152359,-0.970993
0.296,0.015182,-0.176544,-0.901871
0.397,-0.048721,-0.163681,-1.008362
0.492,-0.022964,-0.132751,-0.90509
0.595,-0.033066,-0.125763,-1.011185
0.694,0.07074,-0.119202,-0.92128
0.794,0.103653,-0.077805,-1.007034
0.89,0.050385,-0.087082,-1.007553
0.991,-0.174011,-0.00853,-0.983322
1.091,-0.14418,0.015701,-0.996719
1.192,-0.045914,-0.044693,-0.994202
1.287,0.028381,-0.072952,-0.978836
1.388,0.062317,-0.05426,-0.985397
1.488,0.092377,-0.086304,-0.977081
1.589,0.088837,-0.133087,-0.965469
1.685,0.094711,-0.155991,-0.989563
1.785,0.144775,-0.205627,-0.978668
1.886,0.149826,-0.244995,-0.89888
1.986,0.11055,-0.242767,-0.915237
2.082,0.121124,-0.244614,-0.932114
2.183,0.104797,-0.227203,-0.898682
2.283,0.044846,-0.164932,-0.999176
2.384,0.06897,-0.155334,-1.042511
2.48,0.081253,-0.174026,-1.033142
2.581,0.039749,-0.175247,-0.935532
2.681,0.127853,-0.220245,-0.867035
2.782,0.185425,-0.116394,-0.948242
2.877,0.226395,-0.125229,-1.029282
2.978,0.065628,-0.186264,-0.936798
3.079,-0.12178,-0.110962,-1.166733
3.179,-0.475021,-0.159225,-0.781311
3.276,-0.388794,-0.085617,-0.683365
3.375,-0.00647,-0.03476,-1.026596
3.476,-0.133957,-0.176819,-0.954086
3.577,-0.1064,-0.377823,-0.730927
3.672,-0.014465,0.029755,-1.09549
3.773,0.275833,-0.430557,-0.668106
3.874,0.428711,-0.310043,-0.88147
3.974,0.361526,-0.221313,-0.909805
4.085,0.255783,-0.089676,-0.988937
4.17,0.023132,-0.059341,-1.034241
4.271,-0.011093,0.031525,-0.865158
4.372,0.062256,0.04509,-0.966873
4.468,0.221222,0.007599,-0.938446
4.568,0.253815,-0.00293,-0.927307
4.669,0.37001,-0.016068,-0.941971
4.769,0.398926,0.042496,-0.906448
4.865,0.412994,0.049911,-0.894806
4.966,0.412308,0.07373,-0.899506
5.067,0.642761,0.095001,-0.930023
5.167,0.524582,0.059143,-1.058838
5.263,0.021561,0.269073,-0.680939
5.363,0.098053,0.054688,-0.973206
5.464,0.116043,0.049789,-0.977081
5.564,0.152664,-0.00975,-0.909286
5.66,0.15535,-0.028549,-0.927094
5.761,0.285965,-0.028961,-0.97998
5.862,0.256088,-0.064636,-0.915573
5.965,0.179489,-0.075821,-0.962692
6.058,0.196289,-0.0952,-0.955811
6.158,0.198502,-0.18042,-0.962723
6.26,0.157913,-0.12323,-0.884033
6.36,0.211655,-0.125046,-1.015457
6.455,0.146408,-0.165466,-0.927002
6.556,0.200607,-0.205902,-0.938385
6.657,0.190903,-0.175659,-0.942215
6.757,0.244766,-0.137802,-0.905502
6.853,0.427231,-0.130478,-0.912628
6.954,0.199097,-0.148621,-2.180298
7.055,0.296494,0.051498,0.3629
7.155,-0.010803,-0.058105,-0.798264
7.251,0.037888,0.252502,-2.10025
7.351,0.099091,-0.200089,0.752258
7.452,-0.232346,0.131027,-2.204208
7.553,0.05162,-0.165909,-1.049683
7.648,0.175797,-0.242844,-0.193161
7.749,-0.114777,-0.114151,-1.55571
7.85,-0.054138,-0.185944,-1.08194
7.95,0.139633,-0.20903,-0.076752
8.046,-0.281845,0.043472,-2.035431
8.146,0.097076,-0.237106,-0.598328
8.247,0.101242,-0.205353,-0.678925
8.348,0.015976,-0.052856,-1.499649
8.444,0.108383,-0.215256,-0.635635
8.544,0.034225,-0.164505,-0.886612
8.645,0.044479,-0.102753,-1.113327
8.746,0.091827,-0.140915,-0.916473
8.841,0.084351,-0.119354,-0.94458
8.942,0.089096,-0.118103,-1.010635
9.043,0.096771,-0.146149,-0.959946
9.143,0.085983,-0.214264,-0.994095
9.239,-0.306519,-0.156464,-0.877853
9.339,-0.512131,-0.08609,-0.676224
9.44,-0.756271,-0.239624,-0.692917
9.54,-0.201019,-0.338074,-0.818298
9.636,-0.235718,-0.290909,-1.20549
9.737,0.375839,-0.651321,-0.849854
9.837,0.332947,-0.412903,-0.8853
9.938,0.502701,-0.039703,-0.703568
10.034,0.400711,-0.058228,-0.670959
10.135,0.408951,-0.541824,-0.635361
10.235,0.526154,-0.693649,-0.883621
10.336,0.276505,-0.873764,-0.827988
10.431,0.777847,-0.197388,-0.542206
10.532,0.33075,-0.5215,-0.836273
10.633,0.06424,-0.584076,-0.999771
10.733,-0.004517,-0.405823,-0.947021
10.829,-0.265594,-0.585678,-0.791641
